seq_id,schid,name,municipal,schoolyear,enrolled,PK,K,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,SP,aa_num,aa_pct,as_num,as_pct,lat_num,lat_pct,whi_num,whi_pct,na_num,na_pct,pi_num,pi_pct,mult_num,mult_pct,male_num,male_pct,fem_num,fem_pct,ell_num,ell_pct,lep_num,lep_pct,swd_num,swd_pct,li_num,li_pct,free_num,free_pct,red_num,red_pct,hn_num,hn_pct,disadv_num,disadv_pct
38246,4450105,Abby Kelley Foster Charter Public School,Worcester,2015-16,1426,0,111,116,124,120,122,126,124,120,112,93,95,84,79,0,633,44.4,56,3.9,345,24.2,348,24.4,1,0.1,1,0.1,41,2.9,677,47.5,749,52.5,107,7.5,377,26.4,147,10.3,,,,,,,706,49.5,473,33.2
38247,10505,Abington High,Abington,2015-16,451,0,0,0,0,0,0,0,0,0,0,110,126,96,114,5,17,3.8,0,0,33,7.3,388,86,0,0,1,0.2,12,2.7,212,47,239,53,6,1.3,16,3.5,49,10.9,,,,,,,135,29.9,92,20.4
38248,10003,Beaver Brook Elementary School,Abington,2015-16,633,0,0,165,140,145,183,0,0,0,0,0,0,0,0,0,13,2.1,3,0.5,27,4.3,579,91.5,0,0,0,0,11,1.7,335,52.9,298,47.1,26,4.1,45,7.1,80,12.6,,,,,,,203,32.1,131,20.7
38249,10002,Center Elementary School,Abington,2015-16,182,72,110,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.2,2,1.1,12,6.6,161,88.5,0,0,0,0,3,1.6,91,50,91,50,8,4.4,18,9.9,34,18.7,,,,,,,63,34.6,29,15.9
38250,10405,Frolio Middle School,Abington,2015-16,334,0,0,0,0,0,0,0,0,169,165,0,0,0,0,0,9,2.7,3,0.9,15,4.5,297,88.9,0,0,0,0,10,3,171,51.2,163,48.8,4,1.2,14,4.2,33,9.9,,,,,,,98,29.3,59,17.7
38251,10015,Woodsdale Elementary School,Abington,2015-16,334,0,0,0,0,0,0,173,161,0,0,0,0,0,0,0,9,2.7,2,0.6,10,3,306,91.6,0,0,0,0,7,2.1,169,50.6,165,49.4,4,1.2,11,3.3,38,11.4,,,,,,,105,31.4,69,20.7
38252,4120530,Academy Of the Pacific Rim Charter Public School,Hyde Park,2015-16,524,0,0,0,0,0,0,74,79,75,76,67,46,53,54,0,312,59.5,3,0.6,120,22.9,68,13,0,0,1,0.2,20,3.8,240,45.8,284,54.2,35,6.7,68,13,120,22.9,,,,,,,263,50.2,158,30.2
38253,6000505,Acton-Boxborough Regional High,Acton,2015-16,1902,0,0,0,0,0,0,0,0,0,0,488,456,478,480,0,27,1.4,496,26.1,63,3.3,1248,65.6,4,0.2,0,0,65,3.4,978,51.4,924,48.6,20,1.1,271,14.2,246,12.9,,,,,,,337,17.7,88,4.6
38254,6000005,Blanchard Memorial School,Acton,2015-16,434,31,47,49,44,61,71,66,65,0,0,0,0,0,0,0,11,2.5,146,33.6,15,3.5,247,56.9,1,0.2,0,0,14,3.2,232,53.5,202,46.5,10,2.3,29,6.7,76,17.5,,,,,,,110,25.3,31,7.1
38255,6000020,C.T. Douglas Elementary School,Acton,2015-16,476,0,54,66,71,71,68,72,74,0,0,0,0,0,0,0,1,0.2,105,22.1,15,3.2,319,67,1,0.2,0,0,35,7.4,257,54,219,46,34,7.1,98,20.6,75,15.8,,,,,,,136,28.6,23,4.8
38256,6000030,Luther Conant School,Acton,2015-16,434,0,36,44,69,71,68,72,74,0,0,0,0,0,0,0,11,2.5,267,61.5,11,2.5,133,30.6,0,0,0,0,12,2.8,211,48.6,223,51.4,47,10.8,92,21.2,75,17.3,,,,,,,129,29.7,20,4.6
38257,6000015,McCarthy-Towne School,Acton,2015-16,469,0,55,65,69,71,65,72,72,0,0,0,0,0,0,0,12,2.6,58,12.4,43,9.2,330,70.4,3,0.6,0,0,23,4.9,233,49.7,236,50.3,36,7.7,89,19,71,15.1,,,,,,,132,28.1,34,7.2
